ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,1.1,,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,9.9m,25.0,9.99m,,4,,4,4,4,4
ISGS,,9.9m,25.0,9.99m,RV,5,,5,5,5,5
ISGS,,70n,20.0,1.0u,,6,,6,6,6,6
ISGS,,70n,20.0,1.0u,RV,7,,7,7,7,7
VTH,1.1,2.0,250.0u,0.0p,,8,9,8,8,8,8
ABSDEL,,0.2,2.0,8.0,,10,,10,10,10,10
BVDSS,,,250.0u,500.0,,11,,,11,11,11
BVDSS,202,,250.0u,500.0,,13,13,,13,13,13
BVDSS,202,,1.0m,500.0,,15,15,,15,15,15
BVDSS,,,10.0m,500.0,,17,,,17,17,17
BVDSS,,,25.0u,500.0,,19,,,19,19,19
ABSDEL,,,11.0,13.0,,21,,,21,21,21
ABSDEL,,,13.0,19.0,,22,,,22,22,22
ABSDEL,,5,13.0,15.0,,23,,23,23,23,23
DIVID,,,15.0,13.0,,24,,,24,24,24
DIVID,,,17.0,15.0,,26,,,26,26,26
VFSD,,1.2,1.0,0.0p,,28,,28,28,28,28
VFSD,0.5,1.2,3.6,0.0p,,29,30,29,29,29,29
RDON,,1.05,1.8,10.0,,31,,31,31,31,31
RDON,,1.1,1.8,5.0,,32,,32,32,32,32
IDSS,,0.2u,200.0,1.0u,,33,,33,33,33,33
ISGS,,70n,20.0,1.0u,,34,,34,34,34,34
ISGS,,70n,20.0,1.0u,RV,35,,35,35,35,35
