,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,3.25,7.35,6.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,4.25,6.35,6.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,6.0,2.0,,8,,8,8,8,8
8,ICES,,2u,550.0,,,9,,9,9,,9
9,ICES,,2u,660.0,,,10,,10,10,,10
10,ABSDEL,,0.7u,10.0,9.0,,11,,11,11,11,11
11,BVCES,660,,250.0u,,,12,12,,12,,12
12,BVCES,680,,1.0m,,,13,13,,13,,13
13,BVCES,660,,250.0u,,,14,14,,14,,14
14,BVCES,660,,250.0u,,,15,15,,15,,15
15,ABSDEL,,30,13.0,12.0,,16,,16,16,16,16
16,HVDSON,1.45,2.05,60.0,15.0,,17,18,17,17,17,17
18,VFEC,0.25,0.45,100.0u,0.0p,,19,20,19,19,19,19
20,VFEC,1,1.4,6.0,0.0p,,21,22,21,21,21,21
22,HVFEC,1.85,2.69,60.0,0.0p,RV,23,24,23,23,23,23
24,ICES,,2u,650.0,,,25,,25,25,,25
25,ISGS,,90n,20.0,,,26,,26,26,,26
26,ISGS,,90n,20.0,,RV,27,,27,27,,27
